,event.id,team,opponent,results,outcome_code,win.pct,draw.pct,xP
90,11352618,Burnley,Nottingham Forest,[ 0  0  1 ...  1  0 -1],[ 0  0  1 ...  1  0 -1],0.3088,0.4864,1.4128
91,11352618,Nottingham Forest,Burnley,[ 0  0 -1 ... -1  0  1],[ 0  0 -1 ... -1  0  1],0.2048,0.4864,1.1008
92,11352621,Sheffield United,Tottenham Hotspur,[2 1 0 ... 1 1 1],[1 1 0 ... 1 1 1],0.3443,0.3167,1.3496
93,11352621,Tottenham Hotspur,Sheffield United,[-2 -1  0 ... -1 -1 -1],[-1 -1  0 ... -1 -1 -1],0.339,0.3167,1.3337
94,11352625,Manchester City,West Ham United,[ 1  2 -1 ...  2  3  1],[ 1  1 -1 ...  1  1  1],0.8824,0.0921,2.7392999999999996
95,11352625,West Ham United,Manchester City,[-1 -2  1 ... -2 -3 -1],[-1 -1  1 ... -1 -1 -1],0.0255,0.0921,0.1686
96,11352626,Liverpool,Wolverhampton,[1 2 2 ... 4 2 4],[1 1 1 ... 1 1 1],0.9046,0.0802,2.794
97,11352626,Wolverhampton,Liverpool,[-1 -2 -2 ... -4 -2 -4],[-1 -1 -1 ... -1 -1 -1],0.0152,0.0802,0.1258
98,11352627,Arsenal,Tottenham Hotspur,[-1  1  1 ...  0  0  0],[-1  1  1 ...  0  0  0],0.3327,0.3449,1.343
99,11352627,Tottenham Hotspur,Arsenal,[ 1 -1 -1 ...  0  0  0],[ 1 -1 -1 ...  0  0  0],0.3224,0.3449,1.3121
100,11352628,Brentford,Everton,[-2  1  0 ... -4 -4 -3],[-1  1  0 ... -1 -1 -1],0.083,0.165,0.41400000000000003
101,11352628,Everton,Brentford,[ 2 -1  0 ...  4  4  3],[ 1 -1  0 ...  1  1  1],0.752,0.165,2.4210000000000003
102,11352629,Bournemouth,Brighton & Hove Albion,[-3  0 -2 ... -3  0 -1],[-1  0 -1 ... -1  0 -1],0.0271,0.1076,0.1889
103,11352629,Brighton & Hove Albion,Bournemouth,[3 0 2 ... 3 0 1],[1 0 1 ... 1 0 1],0.8653,0.1076,2.7035
104,11352630,Burnley,Manchester United,[-1  1  0 ... -1 -1  0],[-1  1  0 ... -1 -1  0],0.1463,0.3546,0.7935000000000001
105,11352630,Manchester United,Burnley,[ 1 -1  0 ...  1  1  0],[ 1 -1  0 ...  1  1  0],0.4991,0.3546,1.8519
106,11352631,Aston Villa,Chelsea,[-1 -1  3 ...  2  0  0],[-1 -1  1 ...  1  0  0],0.4228,0.3805,1.6489
107,11352631,Chelsea,Aston Villa,[ 1  1 -3 ... -2  0  0],[ 1  1 -1 ... -1  0  0],0.1967,0.3805,0.9706000000000001
108,11352632,Crystal Palace,Fulham,[-2  1  0 ... -1  0  1],[-1  1  0 ... -1  0  1],0.1381,0.5597,0.974
109,11352632,Fulham,Crystal Palace,[ 2 -1  0 ...  1  0 -1],[ 1 -1  0 ...  1  0 -1],0.3022,0.5597,1.4663
110,11352633,Liverpool,West Ham United,[0 1 1 ... 1 0 0],[0 1 1 ... 1 0 0],0.4112,0.2548,1.4884
111,11352633,West Ham United,Liverpool,[ 0 -1 -1 ... -1  0  0],[ 0 -1 -1 ... -1  0  0],0.334,0.2548,1.2568000000000001
112,11352634,Luton Town,Wolverhampton,[1 0 3 ... 0 1 0],[1 0 1 ... 0 1 0],0.7032,0.2474,2.357
113,11352634,Wolverhampton,Luton Town,[-1  0 -3 ...  0 -1  0],[-1  0 -1 ...  0 -1  0],0.0494,0.2474,0.3956
114,11352635,Manchester City,Nottingham Forest,[0 1 1 ... 1 2 0],[0 1 1 ... 1 1 0],0.6503,0.2606,2.2115
115,11352635,Nottingham Forest,Manchester City,[ 0 -1 -1 ... -1 -2  0],[ 0 -1 -1 ... -1 -1  0],0.0891,0.2606,0.5279
116,11352636,Newcastle United,Sheffield United,[5 6 8 ... 2 3 4],[1 1 1 ... 1 1 1],0.9994,0.0006,2.9987999999999997
117,11352636,Sheffield United,Newcastle United,[-5 -6 -8 ... -2 -3 -4],[-1 -1 -1 ... -1 -1 -1],0.0,0.0006,0.0006
118,11352637,Arsenal,Bournemouth,[4 2 3 ... 5 4 2],[1 1 1 ... 1 1 1],0.9962,0.0037,2.9922999999999997
119,11352637,Bournemouth,Arsenal,[-4 -2 -3 ... -5 -4 -2],[-1 -1 -1 ... -1 -1 -1],0.0001,0.0037,0.004
120,11352638,Aston Villa,Brighton & Hove Albion,[3 1 0 ... 4 4 2],[1 1 0 ... 1 1 1],0.9715,0.0236,2.9381000000000004
121,11352638,Brighton & Hove Albion,Aston Villa,[-3 -1  0 ... -4 -4 -2],[-1 -1  0 ... -1 -1 -1],0.0049,0.0236,0.0383
122,11352639,Everton,Luton Town,[0 4 4 ... 3 1 1],[0 1 1 ... 1 1 1],0.6719,0.2153,2.2310000000000003
123,11352639,Luton Town,Everton,[ 0 -4 -4 ... -3 -1 -1],[ 0 -1 -1 ... -1 -1 -1],0.1128,0.2153,0.5537
124,11352640,Chelsea,Fulham,[ 1  2  2 ...  1  2 -1],[ 1  1  1 ...  1  1 -1],0.5104,0.3362,1.8674
125,11352640,Fulham,Chelsea,[-1 -2 -2 ... -1 -2  1],[-1 -1 -1 ... -1 -1  1],0.1534,0.3362,0.7964
126,11352641,Crystal Palace,Manchester United,[3 1 1 ... 1 2 1],[1 1 1 ... 1 1 1],0.5149,0.334,1.8787000000000003
127,11352641,Manchester United,Crystal Palace,[-3 -1 -1 ... -1 -2 -1],[-1 -1 -1 ... -1 -1 -1],0.1511,0.334,0.7873000000000001
128,11352642,Burnley,Newcastle United,[-4 -1 -2 ... -2 -3 -1],[-1 -1 -1 ... -1 -1 -1],0.0049,0.0397,0.0544
129,11352642,Newcastle United,Burnley,[4 1 2 ... 2 3 1],[1 1 1 ... 1 1 1],0.9554,0.0397,2.9059
130,11352643,Brentford,Nottingham Forest,[ 0  0  2 ...  1  0 -1],[ 0  0  1 ...  1  0 -1],0.4647,0.3485,1.7426
131,11352643,Nottingham Forest,Brentford,[ 0  0 -2 ... -1  0  1],[ 0  0 -1 ... -1  0  1],0.1868,0.3485,0.9089
132,11352644,Liverpool,Tottenham Hotspur,[-1 -1  0 ... -1 -3  0],[-1 -1  0 ... -1 -1  0],0.0604,0.1811,0.3623
133,11352644,Tottenham Hotspur,Liverpool,[1 1 0 ... 1 3 0],[1 1 0 ... 1 1 0],0.7585,0.1811,2.4566
134,11352645,Sheffield United,West Ham United,[-6  0 -2 ... -1 -2 -3],[-1  0 -1 ... -1 -1 -1],0.0572,0.1546,0.3262
135,11352645,West Ham United,Sheffield United,[6 0 2 ... 1 2 3],[1 0 1 ... 1 1 1],0.7882,0.1546,2.5192
136,11352646,Manchester City,Wolverhampton,[-1  0  1 ...  0  0  2],[-1  0  1 ...  0  0  1],0.4014,0.5693,1.7734999999999999
137,11352646,Wolverhampton,Manchester City,[ 1  0 -1 ...  0  0 -2],[ 1  0 -1 ...  0  0 -1],0.0293,0.5693,0.6572
