,addedTime,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,bodyPart,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,draw.start.x,draw.start.y,event.awayTeam.name,event.awayTeam.slug,event.homeTeam.name,event.homeTeam.slug,event.id,event.slug,event.winnerCode,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalMouthLocation,goalType,homeTeam_False,homeTeam_True,id,incidentType,isHome,opponent,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,player.firstName,player.id,player.lastName,player.name,player.position,player.shortName,player.slug,player.userCount,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,reversedPeriodTime,reversedPeriodTimeSeconds,shotType,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,situation,team,time,timeSeconds,xg,xgot,shot.angle,shot.distance,xG,xG_per90,statistics.minutesPlayed,statistics.expectedAssists
20,0,0.0,0.0,0,left-foot,0,1,0,0,0.0,0.0,41.7,0,41.7,30.6,58.3,24.2,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,58.3,69.4,high-left,0,1,0,2137982,shot,False,Brighton & Hove Albion,0,0,1,0,0,0,1006189,0,Issa Kaboré,D,I. Kaboré,issa-kabore,2390,24.2,58.3,0,8,466,miss,0,1,0,0,0,0,0,0,corner,Luton Town,38,2234,0.0,0.0,23.449996639073607,26.159635164659207,0.000588235294117647,0.0008272058823529,64,0.256608
21,0,0.7,48.2,0,head,1,0,0,0,48.2,0.7,49.5,0,49.5,96.2,42.7,8.8,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,50.5,3.8,low-centre,0,1,0,2137971,shot,False,Brighton & Hove Albion,0,0,0,0,1,0,358222,0,Carlton Morris,F,C. Morris,carlton-morris,751,8.8,42.7,0,9,494,save,0,1,0,0,0,0,0,0,corner,Luton Town,37,2206,0.0,0.0,45.1866305435656,12.238731090578618,0.09761363636363636,0.0976136363636363,90,0.0881637
22,0,0.0,0.0,0,head,1,0,0,0,0.0,0.0,46.3,0,46.3,79.1,53.0,6.1,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,53.7,20.9,high-left,regular,0,1,2137959,shot,True,Luton Town,0,1,0,0,0,0,301288,0,Solly March,M,S. March,solly-march,2228,6.1,53.0,0,10,593,goal,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,36,2107,0.0,0.0,77.24939183673996,8.6089305284257,0.3449537815126051,0.4195383829207359,74,0.0185244
23,0,12.5,53.4,0,left-foot,0,1,0,0,53.4,12.5,48.2,0,48.2,81.0,58.3,24.2,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.8,19.0,low-left,0,1,0,2137930,shot,False,Brighton & Hove Albion,1,0,0,0,0,0,556904,0,Marvelous Nakamba,M,M. Nakamba,marvelous-nakamba,1026,24.2,58.3,0,12,664,block,0,0,0,0,0,1,0,0,regular,Luton Town,34,2036,0.0,0.0,23.449996639073607,26.159635164659207,0.0013043478260869564,0.0013043478260869,90,0.011232
24,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,40.5,0,40.5,58.3,26.8,15.2,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,59.5,41.7,high-left,0,0,1,2137911,shot,True,Luton Town,0,0,1,0,0,0,936849,0,Kaoru Mitoma,M,K. Mitoma,mitoma-kaoru,12133,15.2,26.8,0,13,737,miss,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,33,1963,0.0,0.0,13.0702049229462,27.82806189272151,0.01,0.01,90,0.617281
25,0,10.9,33.0,0,left-foot,0,1,0,0,33.0,10.9,47.7,0,47.7,81.0,31.2,12.2,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,52.3,19.0,low-left,0,1,0,2137856,shot,False,Brighton & Hove Albion,1,0,0,0,0,0,387116,0,Pelly Ruddock Mpanzu,M,P. R. Mpanzu,pelly-ruddock-mpanzu,320,12.2,31.2,0,17,1016,block,0,0,1,0,0,0,0,0,fast-break,Luton Town,29,1684,0.0,0.0,16.303381731614554,22.54587033368641,0.0,0.0,88,0.0
26,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,60.7,0,60.7,11.1,37.3,25.1,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,39.3,88.9,high-right,0,0,1,2137824,shot,True,Luton Town,0,0,1,0,0,0,341589,0,Mahmoud Dahoud,M,M. Dahoud,mahmoud-dahoud,1785,25.1,37.3,0,20,1183,miss,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,26,1517,0.0,0.0,20.36289191323909,28.530926159564196,0.0005128205128205128,0.0006237006237006,74,0.104498
27,0,0.0,0.0,0,head,1,0,0,0,0.0,0.0,40.2,0,40.2,86.1,45.2,4.1,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,59.8,13.9,left,0,1,0,2137784,shot,False,Brighton & Hove Albion,0,0,1,0,0,0,387116,0,Pelly Ruddock Mpanzu,M,P. R. Mpanzu,pelly-ruddock-mpanzu,320,4.1,45.2,0,23,1347,miss,0,0,1,0,0,0,0,0,fast-break,Luton Town,23,1353,0.0,0.0,80.67532018270167,7.641822806947769,0.07,0.0715909090909091,88,0.0
28,0,1.9,54.9,0,right-foot,0,0,0,1,54.9,1.9,48.0,0,48.0,93.7,71.9,12.0,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,52.0,6.3,low-left,0,0,1,2137744,shot,True,Luton Town,0,0,0,0,1,0,33902,0,Danny Welbeck,F,D. Welbeck,danny-welbeck,1921,12.0,71.9,0,26,1522,save,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,20,1178,0.0,0.0,12.694641629612612,25.20863208148578,0.05437939016602811,0.0627454501915708,78,0.13625
29,0,11.0,37.9,0,left-foot,0,1,0,0,37.9,11.0,48.9,0,48.9,81.0,32.2,16.7,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.1,19.0,low-centre,0,0,1,2137711,shot,True,Luton Town,1,0,0,0,0,0,805465,0,Pervis Estupiñán,D,P. Estupiñán,pervis-estupinan,4372,16.7,32.2,0,28,1661,block,0,0,0,0,0,0,1,0,set-piece,Brighton & Hove Albion,18,1039,0.0,0.0,18.44414311749619,24.64475416980531,0.0,0.0,90,0.860694
30,0,15.1,56.7,0,left-foot,0,1,0,0,56.7,15.1,48.4,0,48.4,81.0,62.5,25.8,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.6,19.0,low-centre,0,0,1,2137724,shot,True,Luton Town,1,0,0,0,0,0,301288,0,Solly March,M,S. March,solly-march,2228,25.8,62.5,0,28,1671,block,0,0,0,0,0,0,1,0,set-piece,Brighton & Hove Albion,18,1029,0.0,0.0,20.020223896606154,29.15307898990527,0.0,0.0,74,0.0185244
31,0,5.3,50.0,0,head,1,0,0,0,50.0,5.3,38.3,0,38.3,97.2,54.4,7.7,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,61.7,2.8,left,0,0,1,2137663,shot,True,Luton Town,0,0,1,0,0,0,48480,0,Pascal Groß,M,P. Groß,pascal-gross,2191,7.7,54.4,0,32,1918,miss,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,14,782,0.0,0.0,60.80906616152469,10.23928414386862,0.06,0.06,90,0.456669
32,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,51.4,0,51.4,26.4,31.0,26.4,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,48.6,73.6,high,0,0,1,2137597,shot,True,Luton Town,0,0,1,0,0,0,33902,0,Danny Welbeck,F,D. Welbeck,danny-welbeck,1921,26.4,31.0,0,38,2230,miss,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,8,470,0.0,0.0,16.12383872020605,32.788877805639956,0.01,0.0115384615384615,78,0.13625
33,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,41.7,0,41.7,95.8,52.0,9.0,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,58.3,4.2,close-left,0,0,1,2137565,shot,True,Luton Town,0,0,1,0,0,0,975079,0,João Pedro,F,J. Pedro,joao-pedro,3903,9.0,52.0,0,41,2420,miss,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,5,280,0.0,0.0,61.79933150424668,10.750505960584103,0.10342001900538486,0.1057704739827799,88,0.0329176
34,0,0.0,0.0,0,head,1,0,0,0,0.0,0.0,48.4,0,48.4,13.9,56.7,5.6,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.6,86.1,high,0,0,1,2137539,shot,True,Luton Town,0,0,1,0,0,0,115365,0,Lewis Dunk,D,L. Dunk,lewis-dunk,1240,5.6,56.7,0,43,2572,miss,0,1,0,0,0,0,0,0,corner,Brighton & Hove Albion,3,128,0.0,0.0,53.600693657051174,9.666504753333253,0.015176470588235293,0.0151764705882352,90,0.586177
35,0,3.1,33.0,0,head,1,0,0,0,33.0,3.1,19.5,0,19.5,88.9,49.1,12.3,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,80.5,11.1,left,0,0,1,2137542,shot,True,Luton Town,0,0,1,0,0,0,115365,0,Lewis Dunk,D,L. Dunk,lewis-dunk,1240,12.3,49.1,0,44,2582,miss,0,1,0,0,0,0,0,0,corner,Brighton & Hove Albion,2,118,0.0,0.0,48.80700880531225,13.53441663733064,0.135,0.135,90,0.586177
36,7,3.8,51.3,0,head,1,0,0,0,51.3,3.8,48.1,0,48.1,84.8,54.9,14.7,Fulham,fulham,Everton,everton,11352253,everton-fulham,2,0,51.9,15.2,low-left,0,0,1,2139031,shot,True,Fulham,0,0,0,0,1,0,110846,0,Michael Keane,D,M. Keane,michael-keane,650,14.7,54.9,0,1,535,save,0,0,0,0,0,0,1,0,set-piece,Everton,90,5765,0.0,0.0,38.13224327992954,16.417714683520423,0.037096730305025236,0.0370967303050252,90,0.0157
37,5,1.5,57.6,0,head,1,0,0,0,57.6,1.5,58.5,0,58.5,80.6,58.2,10.1,Fulham,fulham,Everton,everton,11352253,everton-fulham,2,0,41.5,19.4,close-right,0,0,1,2139017,shot,True,Fulham,0,0,1,0,0,0,96535,0,Abdoulaye Doucouré,M,A. Doucouré,abdoulaye-doucoure,1520,10.1,58.2,0,1,607,miss,0,0,0,0,0,0,1,0,set-piece,Everton,90,5693,0.0,0.0,39.030423857060214,13.818315661134193,0.013500000000000002,0.0135,90,0.105027
38,0,0.0,0.0,0,head,1,0,0,0,0.0,0.0,57.0,0,57.0,94.4,41.7,8.5,Fulham,fulham,Everton,everton,11352253,everton-fulham,2,0,43.0,5.6,close-right,0,0,1,2138947,shot,True,Fulham,0,0,1,0,0,0,145188,0,James Tarkowski,D,J. Tarkowski,james-tarkowski,1355,8.5,41.7,0,1,20,miss,0,1,0,0,0,0,0,0,corner,Everton,90,5380,0.0,0.0,41.361391632461505,12.548235578073976,0.00928030303030303,0.009280303030303,90,0.0316661
39,0,12.1,47.3,0,left-foot,0,1,0,0,47.3,12.1,49.9,0,49.9,81.0,46.0,18.1,Fulham,fulham,Everton,everton,11352253,everton-fulham,2,0,50.1,19.0,low-centre,0,0,1,2138946,shot,True,Fulham,1,0,0,0,0,0,106337,0,Idrissa Gueye,M,I. Gueye,idrissa-gueye,6704,18.1,46.0,0,1,56,block,0,1,0,0,0,0,0,0,corner,Everton,90,5344,0.0,0.0,33.058899535529775,19.310641582155785,0.02,0.02,90,0.0318173
40,0,8.4,50.2,0,left-foot,0,1,0,0,50.2,8.4,48.8,0,48.8,81.0,50.5,10.3,Fulham,fulham,Everton,everton,11352253,everton-fulham,2,0,51.2,19.0,low-centre,0,1,0,2138925,shot,False,Everton,1,0,0,0,0,0,192144,0,Aleksandar Mitrović,F,A. Mitrović,aleksandar-mitrovic,15169,10.3,50.5,0,3,127,block,0,0,0,0,0,1,0,0,regular,Fulham,88,5273,0.0,0.0,56.93913782109118,11.735758593183803,0.006474061885826592,0.0182082990538872,32,0.0246784
41,0,1.8,46.2,0,right-foot,0,0,0,1,46.2,1.8,47.4,0,47.4,97.5,35.6,7.3,Fulham,fulham,Everton,everton,11352253,everton-fulham,2,0,52.6,2.5,low-left,0,1,0,2138906,shot,False,Everton,0,0,0,0,1,0,192144,0,Aleksandar Mitrović,F,A. Mitrović,aleksandar-mitrovic,15169,7.3,35.6,0,4,187,save,1,0,0,0,0,0,0,0,assisted,Fulham,87,5213,0.0,0.0,19.85459253537806,16.276817031299828,0.020637644300144302,0.0580433745941558,32,0.0246784
