,addedTime,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,bodyPart,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,draw.start.x,draw.start.y,event.awayTeam.name,event.awayTeam.slug,event.homeTeam.name,event.homeTeam.slug,event.id,event.slug,event.winnerCode,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalMouthLocation,goalType,homeTeam_False,homeTeam_True,id,incidentType,isHome,opponent,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,player.firstName,player.id,player.lastName,player.name,player.position,player.shortName,player.slug,player.userCount,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,reversedPeriodTime,reversedPeriodTimeSeconds,shotType,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,situation,team,time,timeSeconds,xg,xgot,statistics.minutesPlayed,statistics.expectedAssists
911,,7.5,39.7,0.0,right-foot,0.0,0.0,,1,39.7,7.5,53.9,0,53.9,81.9,37.1,9.3,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,46.1,18.1,low-right,,1,0,2180023,shot,False,Burnley,1,0.0,0,,0,,862223,,Manor Solomon,M,M. Solomon,manor-solomon,2424,9.3,37.1,0,38,2261,block,0,0.0,0.0,0.0,,1.0,0.0,,regular,Tottenham Hotspur,8,439,,,68,0.312919
912,,,,,left-foot,0.0,1.0,,0,,,50.9,0,50.9,99.4,46.8,8.0,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,49.1,0.6,low-centre,regular,0,1,2179989,shot,True,Tottenham Hotspur,0,1.0,0,,0,,901907,,Lyle Foster,F,L. Foster,foster-lyle,1345,8.0,46.8,0,42,2466,goal,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Burnley,4,234,,,90,0.0515585
913,6.0,,,,right-foot,0.0,0.0,,1,,,29.1,0,29.1,90.3,67.4,11.0,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,70.9,9.7,left,,0,1,2181283,shot,True,Nottingham Forest,0,0.0,1,,0,,138534,,Raheem Sterling,F,R. Sterling,raheem-sterling,28534,11.0,67.4,0,1,558,miss,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,90,5742,,,90,0.299969
914,5.0,0.5,45.8,0.0,right-foot,0.0,0.0,,1,45.8,0.5,47.7,0,47.7,70.3,29.4,3.3,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,52.3,29.7,high-left,,1,0,2181273,shot,False,Chelsea,0,0.0,0,,1,,979232,,Anthony Elanga,F,A. Elanga,anthony-elanga,5377,3.3,29.4,0,1,624,save,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Nottingham Forest,90,5676,,,45,
915,,2.3,49.1,0.0,right-foot,0.0,0.0,,1,49.1,2.3,46.9,0,46.9,94.3,32.0,26.0,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,53.1,5.7,low-left,,1,0,2181183,shot,False,Chelsea,0,0.0,0,,1,,979232,,Anthony Elanga,F,A. Elanga,anthony-elanga,5377,26.0,32.0,0,2,109,save,0,0.0,1.0,0.0,,0.0,0.0,,fast-break,Nottingham Forest,89,5291,,,45,
916,,14.7,52.5,0.0,left-foot,0.0,1.0,,0,52.5,14.7,54.3,0,54.3,81.0,52.0,19.1,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,45.7,19.0,low-right,,0,1,2181196,shot,True,Nottingham Forest,1,0.0,0,,0,,976263,,Ian Maatsen,D,I. Maatsen,ian-maatsen,2180,19.1,52.0,0,3,124,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,88,5276,,,13,0.0291729
917,,22.9,48.0,0.0,right-foot,0.0,0.0,,1,48.0,22.9,48.1,0,48.1,81.0,48.0,31.1,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,51.9,19.0,low-left,,0,1,2181167,shot,True,Nottingham Forest,1,0.0,0,,0,,958966,,Mykhaylo Mudryk,M,M. Mudryk,mykhaylo-mudryk,22711,31.1,48.0,0,4,215,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Chelsea,87,5185,,,13,0.0113794
918,,0.7,55.2,0.0,right-foot,0.0,0.0,,1,55.2,0.7,54.0,0,54.0,85.4,65.8,3.4,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,46.0,14.6,low-right,,0,1,2181163,shot,True,Nottingham Forest,0,0.0,0,,1,,33541,,Thiago Silva,D,T. Silva,thiago-silva,30208,3.4,65.8,0,5,251,save,0,0.0,0.0,0.0,,0.0,1.0,,set-piece,Chelsea,86,5149,,,90,0.0290632
919,,,,,right-foot,0.0,0.0,,1,,,50.3,0,50.3,44.4,51.1,4.3,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,49.7,55.6,close-high,,0,1,2181133,shot,True,Nottingham Forest,0,0.0,1,,0,Nicolas Jackson,1085381,,Nicolas Jackson,F,N. Jackson,nicolas-jackson,10022,4.3,51.1,0,8,440,miss,0,0.0,0.0,0.0,,1.0,0.0,,regular,Chelsea,83,4960,,,90,0.118561
920,,11.4,70.4,0.0,left-foot,0.0,1.0,,0,70.4,11.4,53.8,0,53.8,81.0,72.2,12.6,Nottingham Forest,nottingham-forest,Chelsea,chelsea,11352570,chelsea-nottingham-forest,2,0,46.2,19.0,low-right,,0,1,2181071,shot,True,Nottingham Forest,1,0.0,0,,0,,966547,,Noni Madueke,F,N. Madueke,noni-madueke,7675,12.6,72.2,0,13,736,block,0,0.0,0.0,0.0,,1.0,0.0,,regular,Chelsea,78,4664,,,28,0.104707
